rLE,Xup,Yup,Xlo,Ylo,cl,cd,cm,cl_cd,alpha,status
0.01,0.18884239,0.01,0.1,-0.3,-92.841675,3.885338,36.46205,-23.895391,5.0,1
0.01,0.18884239,0.01,0.1,-0.2275,-59.933487,2.429181,25.641718,-24.6723,5.0,1
0.01,0.18884239,0.01,0.1,-0.155,-27.732368,-0.81290054,16.19591,0.0,5.0,1
0.01,0.18884239,0.01,0.1,-0.0825,-18.739124,-2.4349618,9.836321,0.0,5.0,1
0.01,0.18884239,0.01,0.1,-0.01,-0.04772304,0.14424199,-0.11378619,-0.330854,5.0,1
0.01,0.18884239,0.01,0.20000027,-0.3,-270.0803,-17.01988,89.924484,0.0,5.0,1
0.01,0.18884239,0.01,0.20000027,-0.2275,-197.36652,-11.738456,68.14049,0.0,5.0,1
0.01,0.18884239,0.01,0.20000027,-0.155,-121.063896,-6.264033,44.481804,0.0,5.0,1
0.01,0.18884239,0.01,0.20000027,-0.0825,-63.627567,-1.2518061,21.215809,0.0,5.0,1
0.01,0.18884239,0.01,0.20000027,-0.01,1.4330099,0.10622674,0.1515821,13.490105,5.0,1
0.01,0.18884239,0.01,0.30000052,-0.3,-1447.3584,-165.11943,501.72464,0.0,5.0,1
0.01,0.18884239,0.01,0.30000052,-0.2275,-1085.8339,-122.51103,373.83255,0.0,5.0,1
0.01,0.18884239,0.01,0.30000052,-0.155,-744.2519,-80.16513,254.40634,0.0,5.0,1
0.01,0.18884239,0.01,0.30000052,-0.0825,-378.30002,-36.54704,126.55764,0.0,5.0,1
0.01,0.18884239,0.01,0.30000052,-0.01,-6.0193214,-0.11779328,1.688128,0.0,5.0,1
0.01,0.18884239,0.01,0.4000008,-0.3,-14150.527,-2345.7761,6964.5454,0.0,5.0,1
0.01,0.18884239,0.01,0.4000008,-0.2275,-10709.892,-1774.2495,5275.4126,0.0,5.0,1
0.01,0.18884239,0.01,0.4000008,-0.155,-7269.6084,-1202.6803,3585.8875,0.0,5.0,1
0.01,0.18884239,0.01,0.4000008,-0.0825,-3831.8516,-630.8866,1899.7124,0.0,5.0,1
0.01,0.18884239,0.01,0.4000008,-0.01,-319.44644,-61.67249,167.22374,0.0,5.0,1
0.01,0.18884239,0.01,0.5000011,-0.3,-7.595768e+16,-2.7525114e+16,5.307532e+16,0.0,5.0,1
0.01,0.18884239,0.01,0.5000011,-0.2275,-5.7601224e+16,-2.087321e+16,4.024878e+16,0.0,5.0,1
0.01,0.18884239,0.01,0.5000011,-0.155,-3.92448e+16,-1.4221308e+16,2.742225e+16,0.0,5.0,1
0.01,0.18884239,0.01,0.5000011,-0.0825,-2.0888363e+16,-7569406000000000.0,1.4595714e+16,0.0,5.0,1
0.01,0.18884239,0.01,0.5000011,-0.01,-2531922100000000.0,-917503800000000.0,1769177300000000.0,0.0,5.0,1
0.01,0.18884239,0.0825,0.1,-0.3,0.55042505,-0.2986329,-0.21604277,0.0,5.0,1
0.01,0.18884239,0.0825,0.1,-0.2275,0.3855214,-0.42774436,-0.31168205,0.0,5.0,1
0.01,0.18884239,0.0825,0.1,-0.155,-1.1117188,-0.065996386,-0.0741664,0.0,5.0,1
0.01,0.18884239,0.0825,0.1,-0.0825,-5.3407793,0.4656219,1.3362736,-11.470206,5.0,1
0.01,0.18884239,0.0825,0.1,-0.01,-7.2358646,0.1065723,2.1529186,-67.8963,5.0,1
0.01,0.18884239,0.0825,0.20000027,-0.3,4.408229,-0.49537367,-0.49447745,0.0,5.0,1
0.01,0.18884239,0.0825,0.20000027,-0.2275,2.2169838,-0.18992943,-0.20583636,0.0,5.0,1
0.01,0.18884239,0.0825,0.20000027,-0.155,0.17195584,0.10933256,-0.061644003,1.5727779,5.0,1
0.01,0.18884239,0.0825,0.20000027,-0.0825,0.25033328,0.3624134,-0.04192616,0.6907396,5.0,1
0.01,0.18884239,0.0825,0.20000027,-0.01,-3.6654565,0.30784145,1.4010183,-11.906962,5.0,1
0.01,0.18884239,0.0825,0.30000052,-0.3,241.55383,-32.50957,-56.34761,0.0,5.0,1
0.01,0.18884239,0.0825,0.30000052,-0.2275,209.15125,-25.300957,-52.54103,0.0,5.0,1
0.01,0.18884239,0.0825,0.30000052,-0.155,150.5627,-18.07239,-38.270702,0.0,5.0,1
0.01,0.18884239,0.0825,0.30000052,-0.0825,47.39133,-6.876339,-11.954574,0.0,5.0,1
0.01,0.18884239,0.0825,0.30000052,-0.01,-4.3921013,0.27378136,1.5433725,-16.042368,5.0,1
0.01,0.18884239,0.0825,0.4000008,-0.3,6066.886,-901.76044,-1354.3837,0.0,5.0,1
0.01,0.18884239,0.0825,0.4000008,-0.2275,4694.751,-695.2584,-1054.201,0.0,5.0,1
0.01,0.18884239,0.0825,0.4000008,-0.155,3257.986,-481.40692,-732.33374,0.0,5.0,1
0.01,0.18884239,0.0825,0.4000008,-0.0825,1685.9082,-252.29558,-371.73285,0.0,5.0,1
0.01,0.18884239,0.0825,0.4000008,-0.01,104.65204,-16.13674,-21.121454,0.0,5.0,1
0.01,0.18884239,0.0825,0.5000011,-0.3,7.0622044e+16,-1.1834467e+16,-1.2851927e+16,0.0,5.0,1
0.01,0.18884239,0.0825,0.5000011,-0.2275,5.3555047e+16,-8974469500000000.0,-9746041000000000.0,0.0,5.0,1
0.01,0.18884239,0.0825,0.5000011,-0.155,3.648806e+16,-6114474400000000.0,-6640161700000000.0,0.0,5.0,1
0.01,0.18884239,0.0825,0.5000011,-0.0825,1.9421063e+16,-3254478000000000.0,-3534279700000000.0,0.0,5.0,1
0.01,0.18884239,0.0825,0.5000011,-0.01,2354067800000000.0,-394482180000000.0,-428397500000000.0,0.0,5.0,1
