param,min,max,mean,std
rLE,0.01,0.1,0.06494736842105261,0.043886784588254416
Xup,0.18884238839780085,0.9,0.6139677967406947,0.23226274411182107
Yup,0.01,0.3,0.18709761106999317,0.11148870690527009
YXXup,-5.0,0.0,-0.47491616994345937,0.40496864665750326
Xlo,0.1,0.5000010621212122,0.29316705048778624,0.13464342939541135
Ylo,-0.3,-0.01,-0.038912570213347195,0.059452694087733224
YXXlo,0.0,4.957108176450538,0.6311400029547256,0.7041969399884611
Xte,0.95,1.0497540676235462,0.9710506447431025,0.026185399032707297
Yte,-0.05,0.05,0.0034245263061748396,0.027056385776757636
Yte',-0.2,0.2,-0.0006334469198722837,0.1025134385991953
Δyte'',0.0,0.5,0.0658861357370592,0.164754943944059
