airfoil,max_thickness,max_camber,best_ld,best_ld_alpha,max_cl,max_cl_alpha,min_cd,min_cd_alpha
a18sm,0.07283,0.03842,64.38287153652394,5,1.2975,10,0.01588,5
ag03,0.062456,0.020211,46.04375,5,1.0699,10,0.01102,0
ag04,0.064407,0.017455000000000002,44.678615574783684,5,0.9977,10,0.01055,0
ag08,0.058536000000000005,0.017961500000000002,44.148418491484186,5,0.8325,10,0.01031,0
ag09,0.049048999999999995,0.018543,42.3602853745541,5,0.7462,10,0.0099,0
ag10,0.047727000000000006,0.0170475,39.08071748878923,5,0.905,10,0.00985,0
ag11,0.058169,0.022859,45.39386650631389,5,1.1308,10,0.01097,0
ag12,0.062435000000000004,0.018472000000000002,46.23464373464374,5,1.83,10,0.01019,0
ag13,0.058441,0.019726,375.8158319870759,10,2.3263,10,0.00619,10
ag14,0.053817,0.0210175,46.159376872378665,5,0.8887,10,0.01002,0
ag16,0.07119,0.018708500000000003,48.22864321608041,5,0.9423,10,0.01101,0
ag17,0.064927,0.020162,48.073110285006194,5,0.7759,5,0.01071,0
ag18,0.058712,0.021634999999999998,47.52577319587628,5,0.9305,10,0.01048,0
ag19,0.054068000000000005,0.022731499999999998,47.05601907032181,5,0.922,10,0.01034,0
ag23,0.08897667,0.021902150000000002,52.57306226175349,5,1.1984,10,0.01418,0
ag24,0.084134,0.022175,52.64331210191083,5,1.195,10,0.01358,0
ag25,0.075832,0.024022,53.45025510204081,5,1.1818,10,0.01296,0
ag26,0.068467,0.025513499999999998,53.833333333333336,5,1.1836,10,0.01239,0
ag27,0.06135,0.026964500000000002,53.2276474318326,5,1.1654,10,0.01168,0
ag35,0.087161,0.043719999999999995,50.22328548644338,5,1.2168,10,0.0133,0
ag36,0.0817,0.040963,49.71891891891892,5,1.1141,10,0.0127,0
ag37,0.077326,0.038856,49.068119891008166,5,1.114,10,0.01241,0
ag38,0.07035,0.035306000000000004,45.41009463722398,5,1.3909,10,0.0084,-5
ag44ct02r,0.07291299999999999,0.0194215,45.73193329215565,5,1.1408,10,0.01146,0
ag455ct02r,0.064808,0.018319000000000002,44.61014851485148,5,1.085,10,0.01055,0
ag45c03,0.069861,0.025478999999999998,42.69461077844312,5,1.1079,10,0.01033,0
ag45ct02r,0.069005,0.0185105,45.215490318550906,5,1.1108,10,0.01091,0
ag46c03,0.060289,0.0227995,44.176300578034684,5,1.043,10,0.00972,0
ag46ct02r,0.060599999999999994,0.017035500000000002,43.7243947858473,5,0.9845,10,0.01004,0
ag47c03,0.051158,0.019301000000000002,40.88235294117647,5,0.7768,10,0.00944,0
ag47ct02r,0.050193999999999996,0.012877,35.56873315363882,5,0.6598,5,0.00955,0
ag52,0.083703,0.017527,49.632063074901446,5,1.1019,10,0.01332,0
ag53,0.08097299999999999,0.017863499999999997,49.29457870672763,5,1.0922,10,0.01291,0
ag54,0.075772,0.018357500000000002,48.60090264345584,5,1.072,10,0.01213,0
ag55,0.06584,0.0198025,47.72986683576411,5,1.0825,10,0.01105,0
ah63k127,0.12707,0.03765,29.230560823625034,10,1.0789,10,0.03155,0
ah79k132,0.132,0.0368,43.282357329354724,10,1.1604,10,0.02681,10
ah79k135,0.13487,0.030525000000000004,33.059773828756065,10,1.0232,10,0.0308,0
ah79k143,0.14274,0.02868,28.48456790123457,10,0.9229,10,0.0324,10
ah80129,0.12865,0.040639999999999996,22.37861811391223,10,0.9587,10,0.034,0
ah80136,0.13549,0.034025,24.308943089430894,10,1.1063,10,0.03301,0
ah80140,0.13963,0.0436,14.007673526334147,0,0.8363,10,0.02867,0
ah81131,0.13052,0.02823,26.42995839112344,10,0.9528,10,0.033,0
ah82150a,0.14999,0.03281,34.65622001918772,10,1.0837,10,0.03127,10
ah82150f,0.14997,0.03636,27.116060961313014,10,0.9252,10,0.03412,10
